card_id,well_id,actual_condition,predicted_condition,confidence,prob_normal,prob_rod_floating,prob_fluid_pound,prob_gas_interference,risk_score,severity,split,engineering_explanation,recommended_action,contributing_factors
491f0416,WELL-019,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,72.0,High,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (1056 cP) and pumping speed (6.6 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (1055.6 cP) increases rod downstroke fluid drag; Severe mechanical impact spike detected on downstroke (slope_z=62.3).,IMMEDIATE ACTION: Reduce VFD stroke speed from 6.6 SPM to 5.0 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (1055.6 cP) increases rod downstroke fluid drag | Severe mechanical impact spike detected on downstroke (slope_z=62.3)
b766e629,WELL-014,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,85.0,Critical,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (746 cP) and pumping speed (11.5 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (745.6 cP) increases rod downstroke fluid drag; High pumping speed (11.5 SPM) exceeds rod free-fall velocity limit; Severe mechanical impact spike detected on downstroke (slope_z=223.3).,IMMEDIATE ACTION: Reduce VFD stroke speed from 11.5 SPM to 8.6 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (745.6 cP) increases rod downstroke fluid drag | High pumping speed (11.5 SPM) exceeds rod free-fall velocity limit | Severe mechanical impact spike detected on downstroke (slope_z=223.3)
40eff1f0,WELL-007,Gas Interference,Gas Interference,0.8255,0.1739,0.0,0.0006,0.8255,37.3,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Suppressed production rate (27.5 bpd) from gas lock/slippage.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Suppressed production rate (27.5 bpd) from gas lock/slippage
33b108c1,WELL-003,Normal,Normal,0.9901,0.9901,0.0088,0.0,0.0011,4.0,Low,val,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
2e9e84b5,WELL-007,Normal,Normal,0.9548,0.9548,0.0434,0.0,0.0018,4.7,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
6463a25c,WELL-004,Gas Interference,Gas Interference,0.7988,0.2004,0.0,0.0008,0.7988,38.8,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (2835 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (2835 lbf) reflects cushioned valve response
a1898515,WELL-016,Fluid Pound,Fluid Pound,0.9993,0.0001,0.0,0.9993,0.0006,66.1,High,val,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (2613 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Low pump submergence ratio (49.3%); Sharp fluid-surface impact shock detected (slope_z=53.8); Depressed minimum load (4737 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 3.7 SPM to 2.6 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Low pump submergence ratio (49.3%) | Sharp fluid-surface impact shock detected (slope_z=53.8) | Depressed minimum load (4737 lbf) flags plunger free-fall inside barrel
478ac37b,WELL-003,Gas Interference,Gas Interference,0.6308,0.3681,0.0,0.0011,0.6308,21.0,Low,val,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Operating parameters within nominal thresholds.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,
394c0856,WELL-018,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,82.0,Critical,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (773 cP) and pumping speed (10.0 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (773.3 cP) increases rod downstroke fluid drag; High pumping speed (10.0 SPM) exceeds rod free-fall velocity limit; Severe mechanical impact spike detected on downstroke (slope_z=197.5).,IMMEDIATE ACTION: Reduce VFD stroke speed from 10.0 SPM to 7.5 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (773.3 cP) increases rod downstroke fluid drag | High pumping speed (10.0 SPM) exceeds rod free-fall velocity limit | Severe mechanical impact spike detected on downstroke (slope_z=197.5)
31603dd5,WELL-008,Normal,Normal,0.9483,0.9483,0.0507,0.0,0.001,5.8,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
